system,system_label,multiplicity,multiplicity_label,state_index,state_label,orca_state_index,source_file,excitation_energy_au,excitation_energy_ev,excitation_energy_cm1,wavelength_nm,spin_expectation_s2,oscillator_strength,transition_dipole_strength_au2,transition_dipole_x_au,transition_dipole_y_au,transition_dipole_z_au,dominant_transitions
pdi,Parent PDI,singlet,Singlet,18,S18,18,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.21799,5.931822,47843.4,209.01537234259555,0.0,0.243432637,1.67507,-1.29423,0.00118,-0.00604,HOMO → LUMO+5 (52.2%); HOMO-3 → LUMO+1 (23.2%); HOMO-13 → LUMO (10.0%); HOMO-1 → LUMO+2 (7.1%)
pdi,Parent PDI,singlet,Singlet,19,S19,19,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.219965,5.985542,48276.7,207.1394677374246,0.0,2.156e-06,1e-05,-0.0001,-0.00383,-3e-05,HOMO-2 → LUMO+2 (67.4%); HOMO-4 → LUMO+4 (10.2%); HOMO-1 → LUMO+6 (8.1%)
pdi,Parent PDI,singlet,Singlet,20,S20,20,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.220314,5.995045,48353.3,206.81112218507116,0.0,0.298431719,2.03186,-0.00118,-1.42539,-0.01059,HOMO → LUMO+6 (39.4%); HOMO-1 → LUMO+1 (14.5%); HOMO → LUMO+4 (13.8%); HOMO-2 → LUMO (12.8%); HOMO-3 → LUMO+2 (8.7%)
pdi,Parent PDI,singlet,Singlet,21,S21,21,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.222544,6.055735,48842.8,204.73848079547733,0.0,7.512e-06,5e-05,-0.00712,-9e-05,-1e-05,HOMO-14 → LUMO (62.8%); HOMO-9 → LUMO (9.4%); HOMO-6 → LUMO+2 (6.6%)
pdi,Parent PDI,singlet,Singlet,22,S22,22,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.223959,6.094245,49153.4,203.4447226850906,0.0,0.006694726,0.04484,0.00019,0.21175,0.0013,HOMO-12 → LUMO (36.1%); HOMO-4 → LUMO+1 (35.7%); HOMO-7 → LUMO (12.2%)
pdi,Parent PDI,singlet,Singlet,23,S23,23,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.230518,6.272709,50592.8,197.65654424587527,0.0,0.785092927,5.10867,0.00181,2.26017,0.01719,HOMO-1 → LUMO+1 (62.0%); HOMO → LUMO+4 (13.4%); HOMO-2 → LUMO+5 (6.8%)
pdi,Parent PDI,singlet,Singlet,24,S24,24,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.23132,6.294533,50768.8,196.97124218746646,0.0,9.48e-07,1e-05,-0.00027,-0.00031,-0.00245,HOMO-2 → LUMO+1 (81.7%); HOMO-1 → LUMO+5 (5.6%)
pdi,Parent PDI,singlet,Singlet,25,S25,25,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.231867,6.30943,50889.0,196.5061794805553,0.0,0.438968102,2.83978,-1.68514,0.00258,-0.00923,HOMO-4 → LUMO+2 (72.9%); HOMO-1 → LUMO+3 (11.4%)
pdi,Parent PDI,singlet,Singlet,26,S26,26,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.232786,6.334434,51090.7,195.73050788752397,0.0,0.03123667,0.20128,0.00546,0.4486,0.00339,HOMO → LUMO+7 (48.7%); HOMO → LUMO+12 (27.0%); HOMO → LUMO+10 (11.1%)
pdi,Parent PDI,singlet,Singlet,27,S27,27,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.233819,6.362528,51317.3,194.86625190490318,0.0,0.000304729,0.00195,-0.04269,-0.0001,0.01151,HOMO-15 → LUMO (73.9%); HOMO-11 → LUMO+1 (18.8%)
pdi,Parent PDI,singlet,Singlet,28,S28,28,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.238613,6.492997,52369.6,190.95064790573596,0.0,1.62634483,10.22373,3.19745,-0.00252,-0.00503,HOMO-1 → LUMO+3 (23.6%); HOMO-13 → LUMO (18.8%); HOMO-4 → LUMO+2 (14.0%); HOMO-3 → LUMO+1 (13.7%); HOMO-2 → LUMO+4 (9.5%); HOMO → LUMO+5 (8.3%)
pdi,Parent PDI,singlet,Singlet,29,S29,29,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.242083,6.587405,53131.0,188.21402115096913,0.0,0.014929979,0.09251,0.00031,0.30414,0.00235,HOMO-12 → LUMO (34.5%); HOMO-4 → LUMO+1 (25.2%); HOMO-3 → LUMO+2 (23.9%); HOMO → LUMO+6 (6.7%)
pdi,Parent PDI,singlet,Singlet,30,S30,30,calculations/pdi/excited_state_calculations/tda_singlets/pdi_tda_singlets_tprint.out,0.243746,6.632669,53496.1,186.9295729969338,0.0,2.5e-08,0.0,8e-05,0.00039,2e-05,HOMO-2 → LUMO+3 (43.3%); HOMO → LUMO+14 (25.0%); HOMO-1 → LUMO+4 (15.3%); HOMO-3 → LUMO+5 (5.9%)
pdi,Parent PDI,triplet,Triplet,1,T1,16,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.059425,1.617,13042.2,766.7544737167594,2.0,nan,nan,nan,nan,nan,HOMO → LUMO (89.6%)
