system,system_label,state_label,multiplicity,multiplicity_label,excitation_energy_ev,wavelength_nm,oscillator_strength,dominant_transitions
pdi,Parent PDI,T4,triplet,Triplet,3.294,376.4,,HOMO-1 → LUMO (79.7%); HOMO-2 → LUMO+1 (9.4%)
pdi,Parent PDI,T5,triplet,Triplet,3.388,366.0,,HOMO-2 → LUMO (82.5%); HOMO-1 → LUMO+1 (11.7%)
pdi,Parent PDI,T6,triplet,Triplet,4.196,295.5,,HOMO-12 → LUMO (24.4%); HOMO-3 → LUMO+2 (22.3%); HOMO → LUMO+6 (21.3%); HOMO-4 → LUMO+1 (16.7%)
pdi,Parent PDI,T7,triplet,Triplet,4.245,292.1,,HOMO → LUMO+3 (86.0%); HOMO-3 → LUMO+4 (6.8%)
pdi,Parent PDI,T8,triplet,Triplet,4.339,285.7,,HOMO-5 → LUMO (53.1%); HOMO-6 → LUMO+1 (23.9%); HOMO-5 → LUMO+5 (7.4%)
pdi,Parent PDI,T9,triplet,Triplet,4.341,285.6,,HOMO-6 → LUMO (53.0%); HOMO-5 → LUMO+1 (23.9%); HOMO-6 → LUMO+5 (7.4%)
pdi,Parent PDI,T10,triplet,Triplet,4.413,281.0,,HOMO → LUMO+2 (35.5%); HOMO-4 → LUMO (35.5%); HOMO-8 → LUMO (11.9%); HOMO-7 → LUMO+1 (7.6%)
pdi,Parent PDI,T11,triplet,Triplet,4.479,276.8,,HOMO-13 → LUMO (26.6%); HOMO-1 → LUMO+2 (19.1%); HOMO-3 → LUMO+1 (18.4%); HOMO → LUMO+5 (17.7%)
pdi,Parent PDI,T12,triplet,Triplet,4.546,272.7,,HOMO → LUMO+1 (44.9%); HOMO-3 → LUMO (25.1%); HOMO-2 → LUMO+3 (11.2%); HOMO-1 → LUMO+4 (7.0%)
pdi,Parent PDI,T13,triplet,Triplet,4.627,268.0,,HOMO → LUMO+4 (54.9%); HOMO-7 → LUMO (13.7%); HOMO-3 → LUMO+3 (11.5%); HOMO-4 → LUMO+1 (6.1%)
pdi,Parent PDI,T14,triplet,Triplet,4.673,265.3,,HOMO-9 → LUMO (51.2%); HOMO-10 → LUMO+1 (20.1%); HOMO-6 → LUMO+2 (8.6%); HOMO-5 → LUMO+6 (7.5%)
pdi,Parent PDI,T15,triplet,Triplet,4.702,263.7,,HOMO-7 → LUMO (41.0%); HOMO → LUMO+4 (20.7%); HOMO-8 → LUMO+1 (17.7%); HOMO-7 → LUMO+5 (5.9%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S1,singlet,Singlet,2.748,451.2,1.3875,HOMO → LUMO (95.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S2,singlet,Singlet,3.865,320.8,0.0,HOMO-1 → LUMO (67.5%); HOMO-3 → LUMO (11.8%); HOMO → LUMO+3 (9.8%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S3,singlet,Singlet,4.046,306.5,0.1699,HOMO-2 → LUMO (74.2%); HOMO → LUMO+4 (10.9%); HOMO-1 → LUMO+1 (6.5%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S4,singlet,Singlet,4.063,305.1,0.0,HOMO-3 → LUMO (54.4%); HOMO → LUMO+2 (21.7%); HOMO → LUMO+3 (6.5%); HOMO-1 → LUMO (5.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S5,singlet,Singlet,4.37,283.7,0.0,HOMO → LUMO+1 (64.4%); HOMO-4 → LUMO (26.4%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S6,singlet,Singlet,4.551,272.5,0.0,HOMO-7 → LUMO (35.6%); HOMO-9 → LUMO (21.1%); HOMO-8 → LUMO+1 (14.0%); HOMO-10 → LUMO+1 (8.0%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S7,singlet,Singlet,4.552,272.4,0.0004,HOMO-8 → LUMO (34.9%); HOMO-10 → LUMO (21.4%); HOMO-7 → LUMO+1 (12.0%); HOMO-9 → LUMO+1 (10.1%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S8,singlet,Singlet,4.558,272.0,0.0,HOMO → LUMO+2 (66.1%); HOMO-3 → LUMO (21.1%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S9,singlet,Singlet,4.684,264.7,0.0,HOMO-9 → LUMO (35.9%); HOMO-7 → LUMO (20.7%); HOMO-10 → LUMO+1 (14.3%); HOMO-8 → LUMO+1 (5.3%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S10,singlet,Singlet,4.703,263.6,0.0001,HOMO-10 → LUMO (34.9%); HOMO-8 → LUMO (19.8%); HOMO-9 → LUMO+1 (12.6%); HOMO-7 → LUMO+1 (7.7%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S11,singlet,Singlet,4.791,258.8,0.0,HOMO-4 → LUMO (64.0%); HOMO → LUMO+1 (27.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S12,singlet,Singlet,4.878,254.2,0.0,HOMO → LUMO+3 (62.1%); HOMO-1 → LUMO (10.7%); HOMO-6 → LUMO (9.3%); HOMO → LUMO+2 (5.3%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S13,singlet,Singlet,4.984,248.8,0.053,HOMO-5 → LUMO (56.6%); HOMO-3 → LUMO+1 (11.9%); HOMO → LUMO+4 (10.5%); HOMO-6 → LUMO+1 (5.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S14,singlet,Singlet,5.37,230.9,0.0,HOMO-6 → LUMO (66.6%); HOMO → LUMO+3 (10.9%); HOMO-5 → LUMO+1 (10.3%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S15,singlet,Singlet,5.603,221.3,0.0006,HOMO-17 → LUMO (79.7%); HOMO-13 → LUMO (9.5%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S16,singlet,Singlet,5.684,218.1,0.9921,HOMO → LUMO+4 (31.6%); HOMO → LUMO+6 (22.2%); HOMO-5 → LUMO (17.4%); HOMO-4 → LUMO+2 (12.5%); HOMO-2 → LUMO (5.4%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S17,singlet,Singlet,5.756,215.4,0.0034,HOMO-1 → LUMO+2 (41.4%); HOMO → LUMO+5 (20.2%); HOMO-3 → LUMO+3 (15.0%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S18,singlet,Singlet,5.889,210.5,0.2145,HOMO → LUMO+5 (45.2%); HOMO-4 → LUMO+1 (21.0%); HOMO-1 → LUMO+2 (12.5%); HOMO-19 → LUMO (10.6%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S19,singlet,Singlet,5.957,208.1,0.3778,HOMO → LUMO+6 (36.9%); HOMO → LUMO+4 (20.8%); HOMO-2 → LUMO (12.1%); HOMO-4 → LUMO+2 (10.4%); HOMO-1 → LUMO+1 (8.9%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S20,singlet,Singlet,6.003,206.5,0.0,HOMO-2 → LUMO+2 (66.1%); HOMO-3 → LUMO+4 (9.1%); HOMO-1 → LUMO+6 (8.5%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S21,singlet,Singlet,6.019,206.0,0.0001,HOMO-24 → LUMO (47.0%); HOMO-13 → LUMO (14.2%); HOMO-20 → LUMO (5.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S22,singlet,Singlet,6.061,204.6,0.049,HOMO-3 → LUMO+1 (29.6%); HOMO-18 → LUMO (29.0%); HOMO-6 → LUMO+1 (12.2%); HOMO-11 → LUMO (10.3%)
