system,system_label,s1_energy_ev,s1_wavelength_nm,brightest_low_energy_singlet,brightest_low_energy_singlet_energy_ev,first_strongly_allowed_singlet,first_strongly_allowed_singlet_energy_ev,t1_energy_ev,s1_t1_gap_ev,nearest_triplet_to_main_bright_singlet,nearest_triplet_gap_to_main_bright_singlet_ev,functionalization_induced_low_energy_state
pdi,Parent PDI,2.763479,448.6525803163332,S1,2.763479,S1,2.763479,1.617,1.1464789999999998,T2,0.18552100000000005,not applicable to parent reference
pdi_terminal_functionalized,Functionalized PDI,2.74808,451.1666268813135,S1,2.74808,S1,2.74808,1.605,1.1430799999999999,T2,0.1869200000000002,none identified
