system,system_label,lowest_singlet_state,lowest_singlet_energy_ev,lowest_singlet_wavelength_nm,first_non_negligible_state,first_non_negligible_energy_ev,first_non_negligible_wavelength_nm,first_non_negligible_oscillator_strength,brightest_state,brightest_state_energy_ev,brightest_state_wavelength_nm,brightest_state_oscillator_strength
pdi,Parent PDI,S1,2.763479,448.6525803163332,S1,2.763479,448.6525803163332,1.310530887,S28,6.492992,190.95079494938545,1.62634178
pdi_terminal_functionalized,Functionalized PDI,S1,2.74808,451.1666268813135,S1,2.74808,451.1666268813135,1.387529756,S28,6.478461,191.37909204053244,1.747763486
