bond_class,sample_size,mean_delta_rho_bcp,std_delta_rho_bcp,mean_delta_laplacian_bcp,std_delta_laplacian_bcp,mean_delta_bond_length_angstrom,std_delta_bond_length_angstrom
Aromatic C-C,28,0.00033669376785714001,0.0015281060070747195,-0.0018497547857142884,0.0088052091574233101,-0.00061046345854094881,0.00227034635370916
Carbonyl C=O,4,-0.0033202345000000189,0.0003566629721027537,-0.0061302824499999825,0.0031136687522699113,0.0030556015630982536,0.00031716225325155255
Imide C-N,4,-0.0035693009499999928,0.0027266925657797873,0.040355535274999965,0.022533041904304333,0.0098323103425031477,0.0046282727209882987
