system,bond_cp_count,density_of_all_electrons_mean,density_of_all_electrons_median,density_of_all_electrons_minimum,density_of_all_electrons_maximum,laplacian_of_electron_density_mean,laplacian_of_electron_density_median,laplacian_of_electron_density_minimum,laplacian_of_electron_density_maximum,lagrangian_kinetic_energy_g_r_mean,lagrangian_kinetic_energy_g_r_median,lagrangian_kinetic_energy_g_r_minimum,lagrangian_kinetic_energy_g_r_maximum,hamiltonian_kinetic_energy_k_r_mean,hamiltonian_kinetic_energy_k_r_median,hamiltonian_kinetic_energy_k_r_minimum,hamiltonian_kinetic_energy_k_r_maximum,potential_energy_density_v_r_mean,potential_energy_density_v_r_median,potential_energy_density_v_r_minimum,potential_energy_density_v_r_maximum,energy_density_e_r_or_h_r_mean,energy_density_e_r_or_h_r_median,energy_density_e_r_or_h_r_minimum,energy_density_e_r_or_h_r_maximum,ellipticity_of_electron_density_mean,ellipticity_of_electron_density_median,ellipticity_of_electron_density_minimum,ellipticity_of_electron_density_maximum,electron_localization_function_elf_mean,electron_localization_function_elf_median,electron_localization_function_elf_minimum,electron_localization_function_elf_maximum,localized_orbital_locator_lol_mean,localized_orbital_locator_lol_median,localized_orbital_locator_lol_minimum,localized_orbital_locator_lol_maximum,sign_lambda2_rho_mean,sign_lambda2_rho_median,sign_lambda2_rho_minimum,sign_lambda2_rho_maximum
pdi,48,0.30204243961479166,0.30718468875,0.01449999354,0.4189909122,-0.8857556246491667,-0.92924421215,-1.82663302,0.05272071823,0.133938179138125,0.092278419135,0.01119379311,0.6735512218,0.35537708530345835,0.31938224989999997,-0.001985353491,0.7631187455,-0.48931526444254164,-0.4135332804,-1.436668637,-0.009208493767,-0.35537708530345835,-0.31938224989999997,-0.7631187455,0.001985353491,0.14316862500000002,0.135348,0.005719,0.621224,0.8730030376500001,0.9478773709999999,0.04655115299,0.9915137783,0.7701056183333334,0.8100629376499999,0.1811057191,0.9153431396,-0.30204243961479166,-0.30718468875,-0.4189909122,-0.01449999354
pdi_terminal_functionalized,84,0.2675983965979762,0.28246767555,0.0125919731,0.4159790468,-0.7800797278251191,-0.9318180453,-1.05303169,0.09846662663,0.09461321712309524,0.05716219737,0.01077022092,0.665632454,0.2896331490780952,0.28448588745000003,-0.00241358739,0.7560563946,-0.3842463662124524,-0.33201242185,-1.421688849,-0.008650899881,-0.2896331490780952,-0.28448588745000003,-0.7560563946,0.00241358739,0.16447023809523809,0.09264349999999999,0.006346,1.269195,0.8478975420259526,0.9592385565,0.03189933744,0.9914933405,0.7596655812416667,0.8291161062,0.1537551468,0.915249026,-0.2675983965979762,-0.28246767555,-0.4159790468,-0.0125919731
