system,source_file,cp_index,start_line,signature,cp_type,corresponding_nucleus,position_bohr,position_angstrom,density_of_all_electrons,density_of_alpha_electrons,density_of_beta_electrons,spin_density_of_electrons,lagrangian_kinetic_energy_g_r,g_r_in_x_y_z,hamiltonian_kinetic_energy_k_r,potential_energy_density_v_r,energy_density_e_r_or_h_r,laplacian_of_electron_density,electron_localization_function_elf,localized_orbital_locator_lol,local_information_entropy,interaction_region_indicator_iri,reduced_density_gradient_rdg,reduced_density_gradient_with_promolecular_approximation,sign_lambda2_rho,sign_lambda2_rho_with_promolecular_approximation,corr_hole_for_alpha_ref,source_function_ref,wavefunction_value_for_orbital_1,average_local_ionization_energy_alie,van_der_waals_potential_probe_atom,delta_g_under_promolecular_approximation,delta_g_under_hirshfeld_partition,user_defined_real_space_function,esp_from_nuclear_charges,esp_from_electrons,total_esp,norm_of_gradient_is,total,eigenvalues_of_hessian,determinant_of_hessian,ellipticity_of_electron_density,eta_index,stiffness,eigenvalues_of_stress_tensor,stress_tensor_stiffness,stress_tensor_polarizability
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,11,701,"(3,-3)",nuclear,16.0,-0.03045170852,-0.016114350182,122.5716988,61.28584941,61.28584941,0.0,8.809160566,2.549644227,243324.5993,-243333.4085,-243324.5993,-973263.1605,0.999998971,0.9989866132,0.3000685182,6.744589181e-13,100.0,100.0,-122.5716988,-121.3980281,-0.001599993831,10879.7543,7.18510828e-05,9.980063318,4.554649773e+81,0.03672689847,0.05073874752,1.0,6347746.862,-42.89999923,3983248000.0,1.337164159e-10,-973263.1605,-324420.0387,-3.414499794e+16,4e-06,-1.000007,-1.000003,-81110.66057,1.00001,0.99999
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,12,771,"(3,-3)",nuclear,28.0,-0.038017108219,-0.020117787294,302.6589661,151.3294831,151.3294831,0.0,74.80030795,22.16629169,1131877.321,-1131952.122,-1131877.321,-4527210.084,0.9999963539,0.9980941718,-0.6269418269,1.806660132e-12,100.0,100.0,-302.6589661,-292.3710711,-5.373582051e-05,31075.96727,-2.969237705,18.32894968,4.491564157e+71,0.05857170104,0.09621442963,1.0,1332306.714,-42.61553798,836009000.0,9.681114567e-10,-4527210.084,-1509050.336,-3.43659363e+18,2e-06,-1.000021,-1.000018,-377314.7507,1.000021,0.999979
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,13,841,"(3,-3)",nuclear,5.0,-0.022201077215,-0.011748304119,122.5862654,61.2931327,61.2931327,0.0,8.637803041,2.333485696,243361.9003,-243370.5381,-243361.9003,-973413.0498,0.999999011,0.9990065028,0.3000313415,3.082263886e-13,100.0,100.0,-122.5862654,-121.3980789,-0.1665426562,28371.35995,4.111795626e-06,9.996870508,5.38885962e+82,0.03717330763,0.05153647272,1.0,7799010.336,-44.64668357,4893929000.0,6.111612544e-11,-973413.0498,-324469.8069,-3.416077607e+16,8e-06,-1.000009,-1.000002,-81122.87701,1.000013,0.999987
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,14,911,"(3,-3)",nuclear,4.0,-0.034965233866,-0.018502804936,122.5862625,61.29313123,61.29313123,0.0,8.637777332,2.333495421,243361.883,-243370.5207,-243361.883,-973412.9807,0.999999011,0.9990065057,0.300031349,1.651454855e-13,100.0,100.0,-122.5862625,-121.398079,-0.1694123124,28420.3585,-5.191947888e-06,9.996870698,5.396338268e+82,0.03717304977,0.05153611653,1.0,7799911.713,-44.64668528,4894495000.0,3.274558024e-11,-973412.9807,-324469.7839,-3.416076879e+16,8e-06,-1.000009,-1.000002,-81122.87123,1.000013,0.999987
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,15,981,"(3,-3)",nuclear,11.0,-0.026627343349,-0.014090583287,122.5716928,61.28584641,61.28584641,0.0,8.809190109,2.549649196,243324.5728,-243333.382,-243324.5728,-973263.0544,0.999998971,0.9989866097,0.3000685336,2.428623882e-13,100.0,100.0,-122.5716928,-121.3980279,-0.001653391001,10893.3261,-5.493695432e-05,9.980063102,4.546895919e+81,0.03672781194,0.05074000316,1.0,6346845.626,-42.89999443,3982682000.0,4.814924303e-11,-973263.0544,-324420.0034,-3.414498677e+16,4e-06,-1.000007,-1.000003,-81110.65173,1.00001,0.99999
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,16,1051,"(3,-3)",nuclear,31.0,-0.009062077636,-0.004795444969,0.4223385805,0.2111692903,0.2111692903,0.0,0.0139471678,0.008032054199,6.107407468,-6.121354635,-6.107407468,-24.3738412,0.999582099,0.9799768684,0.01300858857,6.660061452e-15,100.0,100.0,-0.4223385805,-0.2995883698,-1.221797123e-06,0.1544994669,4.751859092e-05,0.7365365082,2.456535039e+25,0.1647273207,0.2970066632,1.0,48.93256048,-23.98655551,15653.87,2.580507157e-15,-24.3738412,-7.342432349,-532.4521381,0.002225,-1.161082,-1.158505,-1.840316523,1.16427,0.858907
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,17,1121,"(3,-3)",nuclear,22.0,-0.008905167983,-0.004712411956,198.7615384,99.38076919,99.38076919,0.0,28.87016648,11.2322125,555307.2624,-555336.1326,-555307.2624,-2221113.569,0.9999977938,0.9985168599,0.006173096016,1.730978668e-12,100.0,100.0,-198.7615384,-193.1735453,-9.930721935e-05,16554.42585,4.817758327e-05,13.92638082,3.009938175e+85,0.0440832362,0.06699921603,1.0,16089802.69,-42.3761793,10096490000.0,5.840597795e-10,-2221113.569,-740364.1033,-4.058340963e+17,0.0,-1.000015,-1.000014,-185111.2788,1.000012,0.999988
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,18,1191,"(3,-3)",nuclear,26.0,-0.026912121107,-0.014241281187,122.6717545,61.33587727,61.33587727,0.0,8.222971524,2.073544326,243541.9577,-243550.1806,-243541.9577,-974134.9387,0.9999991058,0.9990552677,0.2998129825,1.618699684e-13,100.0,100.0,-122.6717545,-121.392543,-0.0003009559191,7910.325655,-5.993052904e-05,10.06877953,1.337168683e+77,0.05219070464,0.06822225528,1.0,2660313.646,-40.58532959,1669348000.0,3.212072331e-11,-974134.9387,-324709.6955,-3.423683395e+16,8e-06,-1.000013,-1.000005,-81182.6191,1.000018,0.999982
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,19,1261,"(3,-3)",nuclear,17.0,-0.007720920864,-0.004085735368,122.5875647,61.29378233,61.29378233,0.0,8.705519506,2.339686254,243364.7283,-243373.4339,-243364.7283,-973424.0913,0.9999989955,0.9989987397,0.3000280252,2.562151438e-13,100.0,100.0,-122.5875647,-121.3999244,-0.01312832341,14345.04771,-2.054077017e-05,9.992202342,8.425431939e+94,0.04104438751,0.057216678,1.0,80949206.94,-44.65663117,50796410000.0,5.080375987e-11,-973424.0913,-324473.6327,-3.416193854e+16,8e-06,-1.000009,-1.000001,-81123.82509,1.000012,0.999988
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,20,1331,"(3,-3)",nuclear,6.0,-0.024864552286,-0.013157754429,122.5640013,61.28200065,61.28200065,0.0,8.704966451,2.449403747,243317.5979,-243326.3028,-243317.5979,-973235.5716,0.9999989949,0.9989984827,0.3000881603,1.424030092e-13,100.0,100.0,-122.5640013,-121.3992629,-0.1815022435,28652.61051,1.335002958e-05,9.992215418,8.683768952e+93,0.0407287782,0.05695977045,1.0,66984190.2,-45.55347898,42033220000.0,2.823048832e-11,-973235.5716,-324411.087,-3.414209431e+16,7e-06,-1.000007,-1.0,-81108.22522,1.00001,0.99999
