system,atom_i,element_i,atom_j,element_j,bond_type,mayer_bond_order
pdi_terminal_functionalized,22,N,23,C,N-C,1.1736923900
pdi_terminal_functionalized,22,N,31,C,N-C,0.7875332700
pdi_terminal_functionalized,23,C,30,O,C-O,2.0679165100
pdi_terminal_functionalized,24,C,25,N,C-N,1.1564435000
pdi_terminal_functionalized,24,C,27,O,C-O,2.0737758200
pdi_terminal_functionalized,25,N,26,C,N-C,1.1735046000
pdi_terminal_functionalized,25,N,32,C,N-C,0.7874111300
pdi_terminal_functionalized,26,C,28,O,C-O,2.0672063700
pdi_terminal_functionalized,27,O,32,C,O-C,0.0747984200
pdi_terminal_functionalized,29,O,31,C,O-C,0.0749223400
pdi_terminal_functionalized,31,C,33,C,C-C,0.9693185700
pdi_terminal_functionalized,31,C,34,C,C-C,0.9699796000
pdi_terminal_functionalized,31,C,49,H,C-H,0.9676043600
pdi_terminal_functionalized,32,C,37,C,C-C,0.9693257400
pdi_terminal_functionalized,32,C,38,C,C-C,0.9700095300
pdi_terminal_functionalized,32,C,50,H,C-H,0.9674565600
pdi_terminal_functionalized,33,C,36,C,C-C,0.9819943500
pdi_terminal_functionalized,33,C,51,H,C-H,0.9689501500
pdi_terminal_functionalized,33,C,52,H,C-H,0.9682825000
pdi_terminal_functionalized,34,C,35,C,C-C,0.9822089800
pdi_terminal_functionalized,34,C,53,H,C-H,0.9683011400
pdi_terminal_functionalized,34,C,54,H,C-H,0.9689424600
pdi_terminal_functionalized,35,C,55,H,C-H,0.9812325300
pdi_terminal_functionalized,35,C,56,H,C-H,0.9809990200
pdi_terminal_functionalized,35,C,57,H,C-H,0.9772367100
pdi_terminal_functionalized,36,C,58,H,C-H,0.9775164200
pdi_terminal_functionalized,36,C,59,H,C-H,0.9809713800
pdi_terminal_functionalized,36,C,60,H,C-H,0.9810125900
pdi_terminal_functionalized,37,C,39,C,C-C,0.9823761400
pdi_terminal_functionalized,37,C,61,H,C-H,0.9689741200
pdi_terminal_functionalized,37,C,62,H,C-H,0.9681423400
pdi_terminal_functionalized,38,C,40,C,C-C,0.9826116600
pdi_terminal_functionalized,38,C,63,H,C-H,0.9681751300
pdi_terminal_functionalized,38,C,64,H,C-H,0.9689553000
pdi_terminal_functionalized,39,C,65,H,C-H,0.9773955300
pdi_terminal_functionalized,39,C,66,H,C-H,0.9809743400
pdi_terminal_functionalized,39,C,67,H,C-H,0.9812138000
pdi_terminal_functionalized,40,C,68,H,C-H,0.9811575300
pdi_terminal_functionalized,40,C,69,H,C-H,0.9809473100
pdi_terminal_functionalized,40,C,70,H,C-H,0.9773029200
