system,atom_i,element_i,atom_j,element_j,bond_type,mayer_bond_order,region_i,label_i,region_j,label_j,source_file
pdi_terminal_functionalized,37,C,62,H,C-H,0.96814234,terminal_right_beta,TR_C2,terminal_right_beta,TR_H3,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,38,C,40,C,C-C,0.98261166,terminal_right_beta,TR_C3,terminal_right_gamma,TR_C5,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,38,C,63,H,C-H,0.96817513,terminal_right_beta,TR_C3,terminal_right_beta,TR_H4,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,38,C,64,H,C-H,0.9689553,terminal_right_beta,TR_C3,terminal_right_beta,TR_H5,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,39,C,65,H,C-H,0.97739553,terminal_right_gamma,TR_C4,terminal_right_gamma,TR_H6,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,39,C,66,H,C-H,0.98097434,terminal_right_gamma,TR_C4,terminal_right_gamma,TR_H7,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,39,C,67,H,C-H,0.9812138,terminal_right_gamma,TR_C4,terminal_right_gamma,TR_H8,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,40,C,68,H,C-H,0.98115753,terminal_right_gamma,TR_C5,terminal_right_gamma,TR_H9,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,40,C,69,H,C-H,0.98094731,terminal_right_gamma,TR_C5,terminal_right_gamma,TR_H10,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,40,C,70,H,C-H,0.97730292,terminal_right_gamma,TR_C5,terminal_right_gamma,TR_H11,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
