system,atom_i,element_i,atom_j,element_j,bond_type,mayer_bond_order,region_i,label_i,region_j,label_j,source_file
pdi,16,C,21,C,C-C,0.93623293,middle,C16,outer,C21,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,16,C,22,N,C-N,-0.05232463,middle,C16,imide,N1,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,16,C,29,O,C-O,-0.17771763,middle,C16,carbonyl,O3,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,17,C,18,C,C-C,1.24687681,middle,C17,middle,C18,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,18,C,19,C,C-C,1.50033827,middle,C18,middle,C19,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,18,C,22,N,C-N,-0.05236284,middle,C18,imide,N1,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,18,C,23,C,C-C,0.9367875,middle,C18,outer,C22,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,18,C,30,O,C-O,-0.17768749,middle,C18,carbonyl,O4,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,19,C,20,C,C-C,1.28865195,middle,C19,middle,C20,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,19,C,30,O,C-O,0.11189341,middle,C19,carbonyl,O4,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,19,C,39,H,C-H,0.96152209,middle,C19,outer,H9,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,20,C,40,H,C-H,0.9778963,middle,C20,middle,H10,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,21,C,22,N,C-N,1.17984744,outer,C21,imide,N1,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,21,C,29,O,C-O,2.18489953,outer,C21,carbonyl,O3,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,22,N,23,C,N-C,1.17966122,imide,N1,outer,C22,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
