system,source_file,energy_ev,tdos,opdos,pdos_fragment_1,pdos_fragment_2,pdos_fragment_3,pdos_fragment_4,pdos_fragment_5,pdos_fragment_6,pdos_fragment_7,pdos_fragment_8,pdos_fragment_9,pdos_fragment_10
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.83461,1e-05,-1e-06,4e-06,0.0,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.82928,1.2e-05,-1e-06,4e-06,0.0,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.82394,1.4e-05,-1e-06,4e-06,0.0,9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.81861,1.7e-05,-1e-06,5e-06,0.0,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.81327,2e-05,-1e-06,6e-06,0.0,1.3e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.80794,2.4e-05,-1e-06,7e-06,1e-06,1.6e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.8026,2.9e-05,-2e-06,8e-06,1e-06,1.9e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.79727,3.4e-05,-2e-06,9e-06,1e-06,2.3e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.79193,4.1e-05,-2e-06,1.1e-05,1e-06,2.8e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.7866,4.9e-05,-3e-06,1.3e-05,1e-06,3.4e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
