system,source_file,energy_ev,tdos,opdos,pdos_fragment_1,pdos_fragment_2,pdos_fragment_3,pdos_fragment_4,pdos_fragment_5,pdos_fragment_6,pdos_fragment_7,pdos_fragment_8,pdos_fragment_9,pdos_fragment_10,energy_homo_aligned_ev,tdos_per_atom,pdos_fragment_1_per_atom,pdos_fragment_2_per_atom,pdos_fragment_3_per_atom,pdos_fragment_4_per_atom
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.05569,0.820656,-0.022331,0.115901,0.249125,0.447607,0.008023,0.0,0.0,0.0,0.0,0.0,0.0,-2.781051666051459,0.0205164,0.002897525,0.006228125,0.011190175,0.000200575
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.05035,0.817058,-0.021717,0.113036,0.25305,0.443264,0.007708,0.0,0.0,0.0,0.0,0.0,0.0,-2.7757116660514587,0.02042645,0.0028259,0.00632625,0.0110816,0.0001927
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.04502,0.813027,-0.021114,0.110213,0.25662,0.438794,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,-2.770381666051458,0.020325675,0.0027553250000000003,0.0064155,0.01096985,0.000185
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.03968,0.808545,-0.020524,0.107438,0.259816,0.434192,0.007099,0.0,0.0,0.0,0.0,0.0,0.0,-2.7650416660514594,0.020213625,0.0026859500000000003,0.0064954,0.010854800000000001,0.00017747500000000002
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.03434,0.803596,-0.019948,0.104713,0.262621,0.429455,0.006807,0.0,0.0,0.0,0.0,0.0,0.0,-2.759701666051459,0.0200899,0.002617825,0.006565525,0.010736375,0.000170175
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.02901,0.798167,-0.019386,0.102043,0.265021,0.42458,0.006523,0.0,0.0,0.0,0.0,0.0,0.0,-2.7543716660514583,0.019954174999999998,0.002551075,0.006625525,0.0106145,0.000163075
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.02367,0.792244,-0.018838,0.099429,0.267002,0.419566,0.006247,0.0,0.0,0.0,0.0,0.0,0.0,-2.749031666051458,0.0198061,0.0024857250000000003,0.00667505,0.01048915,0.000156175
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.01834,0.785819,-0.018306,0.096875,0.268553,0.41441,0.00598,0.0,0.0,0.0,0.0,0.0,0.0,-2.743701666051459,0.019645475000000003,0.002421875,0.006713825,0.01036025,0.0001495
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.013,0.778884,-0.01779,0.094384,0.269666,0.409111,0.005722,0.0,0.0,0.0,0.0,0.0,0.0,-2.7383616660514587,0.0194721,0.0023596,0.00674165,0.010227775,0.00014304999999999998
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.00767,0.771438,-0.01729,0.091958,0.270335,0.403671,0.005474,0.0,0.0,0.0,0.0,0.0,0.0,-2.733031666051458,0.01928595,0.00229895,0.006758375,0.010091775,0.00013685
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.00233,0.763479,-0.016806,0.0896,0.270555,0.39809,0.005234,0.0,0.0,0.0,0.0,0.0,0.0,-2.7276916660514594,0.019086975,0.00224,0.006763875,0.00995225,0.00013085
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-10.997,0.755013,-0.01634,0.087312,0.270326,0.392372,0.005003,0.0,0.0,0.0,0.0,0.0,0.0,-2.7223616660514587,0.018875325000000002,0.0021828,0.00675815,0.0098093,0.000125075
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-10.99166,0.746049,-0.015892,0.085097,0.269647,0.386523,0.004781,0.0,0.0,0.0,0.0,0.0,0.0,-2.7170216660514583,0.018651225,0.002127425,0.006741175,0.009663075,0.00011952499999999999
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-10.98633,0.736599,-0.015461,0.082959,0.268523,0.380549,0.004569,0.0,0.0,0.0,0.0,0.0,0.0,-2.7116916660514594,0.018414975,0.002073975,0.006713075000000001,0.009513725,0.000114225
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-10.98099,0.726682,-0.015049,0.0809,0.266959,0.374459,0.004365,0.0,0.0,0.0,0.0,0.0,0.0,-2.706351666051459,0.01816705,0.0020225,0.006673975,0.009361475,0.000109125
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-10.97566,0.716321,-0.014656,0.078923,0.264963,0.368265,0.00417,0.0,0.0,0.0,0.0,0.0,0.0,-2.7010216660514583,0.017908025,0.001973075,0.006624075,0.009206625,0.00010425
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-10.97032,0.705542,-0.014282,0.077034,0.262546,0.361979,0.003984,0.0,0.0,0.0,0.0,0.0,0.0,-2.695681666051458,0.01763855,0.0019258500000000002,0.00656365,0.009049475,9.96e-05
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-10.96499,0.694379,-0.013928,0.075235,0.259721,0.355617,0.003806,0.0,0.0,0.0,0.0,0.0,0.0,-2.690351666051459,0.017359475,0.001880875,0.0064930249999999995,0.008890425,9.515e-05
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-10.95965,0.682868,-0.013594,0.073533,0.256503,0.349196,0.003637,0.0,0.0,0.0,0.0,0.0,0.0,-2.6850116660514587,0.017071700000000002,0.001838325,0.006412574999999999,0.0087299,9.0925e-05
