system,system_label,source_output,job_normal_termination,multiplicity,multiplicity_label,global_state_number,local_state_index,state_label,state_energy_hartree,state_energy_ev,state_energy_cm1,nto_block_energy_ev,nto_filename,nto_path,nto_file_exists,nto_print_threshold,pair_index,hole_orbital,electron_orbital,weight,cumulative_weight,parse_warning
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,5,95a,104a,0.004998,0.988502,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,6,94a,105a,0.003749,0.992251,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,7,93a,106a,0.002917,0.9951679999999999,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,8,92a,107a,0.002171,0.997339,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,9,91a,108a,0.000717,0.9980559999999999,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.059423653958034124,1.617,13041.984656085,1.617,pdi_T1_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t1/pdi_T1_nto.mwfn,True,,10,90a,109a,0.000464,0.99852,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.10837375109600657,2.949,23785.289270744997,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,True,,1,99a,100a,0.496971,0.496971,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.10837375109600657,2.949,23785.289270744997,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,True,,2,98a,101a,0.432008,0.928979,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.10837375109600657,2.949,23785.289270744997,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,True,,3,97a,102a,0.025521,0.9545,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.10837375109600657,2.949,23785.289270744997,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,True,,4,96a,103a,0.02407,0.97857,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.10837375109600657,2.949,23785.289270744997,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,True,,5,95a,104a,0.005295,0.9838650000000001,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.10837375109600657,2.949,23785.289270744997,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,True,,6,94a,105a,0.004107,0.9879720000000001,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.10837375109600657,2.949,23785.289270744997,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,True,,7,93a,106a,0.003139,0.9911110000000001,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.10837375109600657,2.949,23785.289270744997,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,True,,8,92a,107a,0.002848,0.993959,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.10837375109600657,2.949,23785.289270744997,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,True,,9,91a,108a,0.001587,0.995546,
pdi,Parent PDI,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.session.log,True,triplet,Triplet,2,2,T2,0.10837375109600657,2.949,23785.289270744997,2.949,pdi_T2_nto.mwfn,calculations/pdi/multiwfn_analysis/excited_state/nto/t2/pdi_T2_nto.mwfn,True,,10,90a,109a,0.001261,0.996807,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10098713733869992,2.748,22164.11492574,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,True,,1,139a,140a,0.955154,0.955154,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10098713733869992,2.748,22164.11492574,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,True,,2,138a,141a,0.019935,0.975089,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10098713733869992,2.748,22164.11492574,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,True,,3,137a,142a,0.007041,0.98213,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10098713733869992,2.748,22164.11492574,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,True,,4,136a,143a,0.003057,0.9851869999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10098713733869992,2.748,22164.11492574,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,True,,5,135a,144a,0.001947,0.987134,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10098713733869992,2.748,22164.11492574,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,True,,6,134a,145a,0.001088,0.9882219999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10098713733869992,2.748,22164.11492574,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,True,,7,133a,146a,0.000894,0.9891159999999999,
