 Note: The diagonal elements are the sum of corresponding row elements
 ***************************** Bond order matrix *****************************
    11    3.61868101    1.49886090    0.04218932    0.01237426   -0.00107799
    12    1.49886090    3.97542795    1.28809304    0.00184985    0.00257632
    13    0.04218932    1.28809304    3.84067454    0.03535342    0.00197067
    14    0.01237426    0.00184985    0.03535342    3.84132786    1.28840739
    15   -0.00107799    0.00257632    0.00197067    1.28840739    3.97808362
    16    0.01442257   -0.00028402    0.01140189    0.04217422    1.50030275
    17   -0.00888156    0.00107232    0.00024970    0.01211733   -0.01042149
    18    0.00949135    0.00195104    0.00449413   -0.00052276    0.01641594
    19    0.00063747   -0.00044906    0.00095441    0.01629173    0.00430397
    20    0.00451701    0.00158400    0.00805358    0.00286074    0.01604733
    21   -0.00057314   -0.00064789    0.00072882    0.00719887   -0.00966811
    22    0.00057635    0.00013985    0.00027148   -0.00000178    0.01273760
    23   -0.00133207   -0.00000008    0.00077314    0.00024013    0.00173375
    24   -0.00115881    0.00184299    0.00004087    0.00084586    0.00008997
    25   -0.05013683    0.01285382    0.00003729    0.00052430    0.00000990
    26    0.93979912   -0.01024497    0.00712162   -0.00022839    0.00003016
    27    0.00135181    0.00494813    0.00060020    0.00092335    0.00012699
    28   -0.17621326    0.11108469    0.00199677    0.00239358    0.00008342
    29    0.00118060    0.00021167    0.00218694    0.00251522    0.11250225
    30    0.00060436    0.00003620    0.00098905    0.00065872    0.00496227
    31    0.00000629   -0.00000864    0.00002888   -0.00004934    0.00041646
    32    0.01292294    0.00042684   -0.00011507    0.00005305   -0.00002014
    33   -0.00006100    0.00006471    0.00012863    0.00005023    0.00012525
    34    0.00055137    0.00024262    0.00013125    0.00024279   -0.00039571
    35    0.01679802    0.96285205   -0.03330624   -0.00013372    0.00017001
    36    0.00519542    0.00544878    0.97803346    0.00990386    0.00142093
    37    0.00047416    0.00131923    0.00974178    0.97819559    0.00547493
    38   -0.00013220    0.00008633   -0.00002780   -0.03295937    0.96221756
    39   -0.00000393   -0.00010552    0.00006617    0.00016931    0.00026377
    40    0.00004418    0.00012148    0.00005551    0.00013481    0.00006072
            16            17            18            19            20      
     1    0.00692924   -0.03042233    0.06012325    0.01843772    1.44463931
     2    0.00601712    0.00902457   -0.00075037    0.00850665   -0.05053434
     3    0.00101406   -0.00635895    0.00061560   -0.00187550    0.01014923
     4   -0.00012809    0.00613378    0.00780817    0.00067500   -0.00118780
     5    0.06027384   -0.03061228    0.00749140    0.00147620    0.01622974
     6   -0.02886999    1.28937726   -0.02865777    0.03531279    0.02745252
     7    0.00528443   -0.00133239    0.01206102    0.00222466    0.03534643
     8   -0.00071808    0.00512853   -0.00026775    0.00259560    0.00150066
     9    0.01723315   -0.01479282    0.01405341    0.00031946    0.01185261
    10   -0.01509480    0.02323341   -0.01163625    0.00257966   -0.00096863
    11    0.01442257   -0.00888156    0.00949135    0.00063747    0.00451701
    12   -0.00028402    0.00107232    0.00195104   -0.00044906    0.00158400
    13    0.01140189    0.00024970    0.00449413    0.00095441    0.00805358
    14    0.04217422    0.01211733   -0.00052276    0.01629173    0.00286074
    15    1.50030275   -0.01042149    0.01641594    0.00430397    0.01604733
    16    3.61306788    1.24476179   -0.00818693    0.01692735   -0.00029959
    17    1.24476179    3.78950511    1.24687681   -0.01079005    0.01292141
    18   -0.00818693    1.24687681    3.61813790    1.50033827    0.04210064
    19    0.01692735   -0.01079005    1.50033827    3.97653102    1.28865195
    20   -0.00029959    0.01292141    0.04210064    1.28865195    3.84188055
    21    0.93623293    0.02309196   -0.00171460    0.00173048    0.00008093
    22   -0.05232463   -0.01625129   -0.05236284    0.01278303   -0.00008355
    23   -0.00283508    0.02390368    0.93678750   -0.01016956    0.00721700
    24   -0.00186928    0.00200862    0.00021556   -0.00121311    0.00077588
    25    0.00099115   -0.00121886    0.00051553    0.00029916    0.00032417
    26   -0.00187235    0.00362343   -0.00168435   -0.00021911    0.00100276
    27    0.00057021    0.00004051    0.00126505    0.00017964    0.00225171
    28    0.00135657   -0.00021302    0.00064417   -0.00003715    0.00105965
    29   -0.17771763    0.00071209    0.00135173    0.00499418    0.00061571
