 Note: The diagonal elements are the sum of corresponding row elements
 ***************************** Bond order matrix *****************************
             1             2             3             4             5      
     1    3.77435366    1.04458592   -0.02254525    0.01569139   -0.01163803
     2    1.04458592    3.77340491    1.25248800   -0.01119806    0.01544854
     3   -0.02254525    1.25248800    3.81181995    1.25508190   -0.02391927
     4    0.01569139   -0.01119806    1.25508190    3.76917018    1.04006996
     5   -0.01163803    0.01544854   -0.02391927    1.04006996    3.76464816
     6    1.25160730   -0.02306752   -0.03328406   -0.02183178    1.25548314
     7   -0.04649897    1.44403757    0.02538427    0.01599415   -0.00141787
     8    0.00875735    0.02024195    0.02965292    0.00121782    0.00093988
     9   -0.00102557    0.06468174   -0.03861011    0.00600723    0.00705235
    10    0.00607588   -0.02007787    1.29464271   -0.02687077    0.00757685
    11    0.00644725    0.00611313   -0.03459818    0.06659504   -0.00147529
    12    0.00087067    0.00127716    0.03249215    0.01785876    0.00906749
    13   -0.00141815    0.01605488    0.03094112    1.44225515   -0.04992317
    14    0.01612387   -0.00133300    0.01003516   -0.04841383    1.44373916
    15    0.00124736    0.00157862   -0.00172235    0.00786411    0.01819230
    16    0.00725329    0.00448969    0.00149904   -0.00003318    0.06552411
    17   -0.02682582    0.00855647   -0.00759531    0.00535992   -0.02080281
    18    0.06857941   -0.00270546   -0.00051062    0.00737741    0.00576667
    19    0.01932987    0.00901418    0.00033833    0.00081260    0.00112114
    20    1.44336693   -0.04735736    0.01012641   -0.00145966    0.01580706
    21    0.00471962    0.00172835    0.00084818    0.00330975   -0.00210784
    22    0.00210308   -0.00072646   -0.00001793   -0.00019789    0.00219865
    23   -0.00015569    0.00252785    0.00298397    0.00080547    0.00372965
    24    0.00442541   -0.00275185    0.00400864    0.00627106    0.00044784
    25   -0.00054521    0.00238792   -0.00064404    0.00188956   -0.00047469
    26    0.00043144    0.00425517    0.00381356    0.00157989    0.00190545
    27    0.00008077    0.00977026    0.00314245    0.00166865    0.00025158
    28    0.00054778    0.00176516    0.00266518    0.01011500    0.00014585
    29    0.00171866    0.00008037   -0.00007063    0.00011952    0.00983443
    30    0.00979364    0.00017841    0.00016541    0.00020944    0.00173777
    31    0.00016918    0.00091354   -0.00148687    0.00058867   -0.00042982
    32    0.00108260   -0.00066637    0.00117959   -0.00053143    0.00067579
    33    0.00006782    0.00017630    0.00020543   -0.00015069    0.00013073
    34    0.00026787   -0.00003801    0.00018925   -0.00006230    0.00001742
    35    0.00007444   -0.00018074    0.00008490   -0.00016085    0.00017889
    36   -0.00008784   -0.00010361    0.00009813    0.00006096    0.00006744
    37    0.00019750    0.00003945    0.00001376   -0.00011724    0.00022789
    38    0.00015318    0.00008432    0.00008370   -0.00023006    0.00034034
    39   -0.00037672    0.00038218   -0.00034433    0.00016587   -0.00017379
    40   -0.00005998    0.00011729   -0.00011821    0.00009177   -0.00018996
    41   -0.01486311   -0.02155665    0.00701257    0.00118082   -0.00006429
    42    0.00097846    0.00508798    0.00070502   -0.00020414   -0.00003890
    43   -0.00004645   -0.00005526    0.00066507    0.00504796    0.00091186
    44   -0.00004884    0.00119327    0.00707561   -0.02168127   -0.01521808
    45    0.00115584   -0.00005196   -0.00026797   -0.01430652   -0.02222973
    46   -0.00018000   -0.00015749    0.00027157    0.00088006    0.00491907
    47    0.00495241    0.00092825   -0.00002590   -0.00008767   -0.00003669
    48   -0.02210646   -0.01503294   -0.00026091   -0.00007473    0.00119881
    49   -0.00003526   -0.00005778    0.00022047    0.00005046    0.00009276
    50    0.00009229    0.00013889   -0.00012262    0.00008018   -0.00005475
    51    0.00011127   -0.00004225   -0.00007291   -0.00004232    0.00010249
    52   -0.00002542   -0.00002104   -0.00004550    0.00006053    0.00001541
    53    0.00000010   -0.00001730   -0.00001909    0.00000775    0.00005744
    54   -0.00012910    0.00011018   -0.00021659    0.00017437    0.00000906
    55   -0.00007687    0.00007870    0.00008408   -0.00004761    0.00001253
    56   -0.00002541    0.00002630    0.00002285    0.00002133   -0.00003540
    57    0.00000992    0.00000630   -0.00001797    0.00001480    0.00001140
    58    0.00009662   -0.00000493   -0.00003827   -0.00004745    0.00002454
    59   -0.00005843    0.00003193    0.00001088    0.00007016   -0.00005979
    60   -0.00009492    0.00008881    0.00000269    0.00002892   -0.00005742
    61    0.00000694   -0.00008539    0.00013405    0.00004947    0.00001324
    62   -0.00000323    0.00004124   -0.00001561    0.00002028   -0.00000941
    63    0.00001019    0.00002829   -0.00003175    0.00005071   -0.00007780
    64   -0.00012850    0.00006369    0.00001611    0.00015960   -0.00005375
    65    0.00006645   -0.00006411    0.00003213   -0.00001639    0.00001977
    66    0.00004392   -0.00002407    0.00004918   -0.00002335    0.00000970
    67   -0.00002266    0.00006547   -0.00009439   -0.00000446   -0.00002437
    68    0.00003390   -0.00001933    0.00002120   -0.00002550    0.00004905
    69    0.00002533   -0.00002714    0.00004806   -0.00002779    0.00003244
    70    0.00002247   -0.00003483   -0.00001909    0.00005864    0.00000310
             6             7             8             9            10      
     1    1.25160730   -0.04649897    0.00875735   -0.00102557    0.00607588
     2   -0.02306752    1.44403757    0.02024195    0.06468174   -0.02007787
     3   -0.03328406    0.02538427    0.02965292   -0.03861011    1.29464271
     4   -0.02183178    0.01599415    0.00121782    0.00600723   -0.02687077
     5    1.25548314   -0.00141787    0.00093988    0.00705235    0.00757685
     6    3.80856854    0.00982891   -0.00177801    0.00176622   -0.00703276
     7    0.00982891    3.83939694    1.29250048    0.03883116    0.01376018
     8   -0.00177801    1.29250048    3.98028932    1.49601059    0.00227829
