system,cube_type,source_file,resolved_source_file,minimum,maximum,mean,standard_deviation,integral,absolute_integral,positive_voxel_fraction,negative_voxel_fraction
pdi,elf,calculations/pdi/multiwfn_analysis/elf_lol/pdi_elf.cub,calculations/pdi/multiwfn_analysis/ground_state/elf_lol/pdi_elf.cub,4.23746e-60,0.999945,0.0917229368631552,0.2131418706450713,1064.260298460933,1064.260298460933,1.0,0.0
pdi,lol,calculations/pdi/multiwfn_analysis/elf_lol/pdi_lol.cub,calculations/pdi/multiwfn_analysis/ground_state/elf_lol/pdi_lol.cub,5.57193e-15,0.932704,0.0549497504015429,0.120177558328173,637.5813919908556,637.5813919908556,1.0,0.0
pdi_terminal_functionalized,elf,calculations/pdi_terminal_functionalized/multiwfn_analysis/elf_lol/pdi_terminal_functionalized_elf.cub,calculations/pdi_terminal_functionalized/multiwfn_analysis/ground_state/elf_lol/pdi_terminal_functionalized_elf.cub,5.34782e-75,0.999927,0.0616099530682458,0.1896086350728702,1810.221830376412,1810.221830376412,1.0,0.0
pdi_terminal_functionalized,lol,calculations/pdi_terminal_functionalized/multiwfn_analysis/elf_lol/pdi_terminal_functionalized_lol.cub,calculations/pdi_terminal_functionalized/multiwfn_analysis/ground_state/elf_lol/pdi_terminal_functionalized_lol.cub,4.9206600000000006e-18,0.967875,0.0335688040622588,0.0978757139958107,986.3176143928772,986.3176143928772,1.0,0.0
