triplet,singlet,x_re,x_im,y_re,y_im,z_re,z_im,soc_cm-1
8,4,0.0,0.03,0.0,-0.0,-0.0,0.12,0.12369316876852982
8,5,0.0,-0.04,0.0,-0.26,-0.0,-0.19,0.32449961479175904
8,6,0.0,-0.01,0.0,6.88,-0.0,-7.09,9.879402815960082
8,7,0.0,0.09,0.0,0.12,-0.0,-0.11,0.18601075237738274
8,8,0.0,-0.02,0.0,0.28,-0.0,0.02,0.2814249455894058
8,9,0.0,0.07,0.0,4.06,-0.0,15.39,15.916676788827496
8,10,0.0,0.2,0.0,-0.01,-0.0,-0.02,0.2012461179749811
9,0,0.0,0.25,0.0,10.89,-0.0,-61.19,62.151996749903375
9,1,0.0,-0.07,0.0,-0.03,-0.0,0.03,0.0818535277187245
9,2,0.0,-0.02,0.0,-2.34,-0.0,0.73,2.4513057744802054
9,3,0.0,0.02,0.0,0.01,-0.0,0.04,0.045825756949558406
9,4,0.0,-0.1,0.0,2.37,-0.0,-0.61,2.4492856101320646
9,5,0.0,0.01,0.0,1.76,-0.0,-11.07,11.209040993769271
9,6,0.0,-0.39,0.0,-0.15,-0.0,0.19,0.45902069670114004
9,7,0.0,-0.01,0.0,0.15,-0.0,-0.17,0.22693611435820435
9,8,0.0,0.02,0.0,1.53,-0.0,-2.08,2.5821889938577307
9,9,0.0,9.38,0.0,-0.03,-0.0,-0.12,9.380815529579504
9,10,0.0,-0.08,0.0,-0.03,-0.0,-0.06,0.1044030650891055
10,0,0.0,-0.4,0.0,0.15,-0.0,-0.38,0.5717516943569123
10,1,0.0,0.01,0.0,1.52,-0.0,-10.47,10.579763702465193
10,2,0.0,-0.01,0.0,-0.02,-0.0,-0.02,0.03
10,3,0.0,0.07,0.0,1.19,-0.0,-0.6,1.3345411196362589
10,4,0.0,-0.0,0.0,-0.01,-0.0,-0.04,0.04123105625617661
10,5,0.0,-0.07,0.0,-0.02,-0.0,-0.08,0.10816653826391968
10,6,0.0,0.0,0.0,-0.06,-0.0,0.05,0.07810249675906655
10,7,0.0,0.19,0.0,-0.17,-0.0,0.13,0.2861817604250837
10,8,0.0,-0.05,0.0,0.02,-0.0,-0.02,0.057445626465380296
10,9,0.0,0.04,0.0,-0.06,-0.0,-0.16,0.17549928774784243
10,10,0.0,9.0,0.0,0.09,-0.0,0.32,9.006136796651493
